ads_id,prop_name,completion_year,monthly_rent_rm,location,property_type,rooms,parking,bathroom,size_sqft,furnished,region,Barbeque area,Club house,Gymnasium,Jogging Track,Lift,Minimart,Multipurpose hall,Parking,Playground,Sauna,Security,Squash Court,Swimming Pool,Tennis Court,Air-Cond,Cooking Allowed,Internet,Near KTM/LRT,Washing Machine
100203973,Segar Courts,2017,2300,Cheras,Condominium,3,1,2,1170,Partially Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
100323128,Pangsapuri Teratak Muhibbah 2,2017,1000,Taman Desa,Apartment,3,1,2,650,Fully Furnished,Kuala Lumpur,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
100191767,Sentul Point Suite Apartment,2020,1700,Sentul,Apartment,2,1,2,743,Partially Furnished,Kuala Lumpur,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
97022692,Arte Mont Kiara,2017,1299,Mont Kiara,Service Residence,1,1,1,494,Not Furnished,Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
100322897,Residensi Vista Wirajaya,2017,1500,Setapak,Apartment,3,1,2,884,Partially Furnished,Kuala Lumpur,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No
100322885,Arte Plus Jalan Ampang,2018,1550,Ampang,Service Residence,1,1,1,700,Fully Furnished,Kuala Lumpur,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
100322866,Nova I,2014,1400,Segambut,Apartment,2,1,1,750,Fully Furnished,Kuala Lumpur,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
100322863,Sofiya Residences,2017,1350,Desa ParkCity,Condominium,3,1,2,862,Partially Furnished,Kuala Lumpur,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
100322813,The Park Sky Residence @ Bukit Jalil City,2019,2600,Bukit Jalil,Service Residence,2,1,2,868,Partially Furnished,Kuala Lumpur,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No
100322809,PV9 Residences @ Taman Melati,2022,2000,Setapak,Service Residence,4,2,2,1100,Partially Furnished,Kuala Lumpur,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
100322802,Arte Plus Jalan Ampang,2018,1500,Ampang,Service Residence,1,1,1,700,Fully Furnished,Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
87950203,Maxim Citilights,2017,1300,Sentul,Service Residence,3,1,2,1009,Fully Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
100239196,Greenview Apartments,2017,1000,Kepong,Apartment,5,1,2,855,Partially Furnished,Kuala Lumpur,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No
100322212,Majestic Maxim,2021,1400,Cheras,Service Residence,2,2,2,650,Not Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
100231953,East Side One Ampang Avenue,2017,1800,Ampang,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
100322123,Majestic Maxim,2021,1099,Cheras,Service Residence,2,1,2,650,Not Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
100310024,Majestic Maxim,2021,1099,Cheras,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
100310022,Majestic Maxim,2021,1199,Cheras,Service Residence,3,1,2,819,Not Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
100290514,Majestic Maxim,2021,1100,Cheras,Service Residence,2,1,2,650,Not Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No
100267049,Sri Penara,2017,1000,Cheras,Apartment,3,1,2,650,Not Furnished,Kuala Lumpur,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
100201993,Prisma Cheras,2017,1100,Cheras,Condominium,1,1,1,900,Partially Furnished,Kuala Lumpur,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
100295196,Menara Alpha,2017,1400,Wangsa Maju,Condominium,3,1,2,1140,Not Furnished,Kuala Lumpur,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No
100322088,Berlian Residence @ Setapak,2017,1500,Setapak,Condominium,3,1,2,900,Not Furnished,Kuala Lumpur,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
100322078,Pangsapuri Melur (Sentul),2006,1750,Sentul,Apartment,3,1,2,1065,Partially Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
